video_id,frame_id,timestamp,detected_text,confidence,bbox_norm
L21_V001,105,3.500,"OPEN 24 HOURS",0.98,"0.15,0.20,0.25,0.45"
L21_V001,450,15.000,"WELCOME TO COFFEE SHOP",0.96,"0.10,0.30,0.20,0.70"
L21_V002,120,4.000,"TRẦN HƯNG ĐẠO",0.95,"0.05,0.15,0.12,0.40"
L21_V003,300,10.000,"NGUYỄN HUỆ WALKING STREET",0.97,"0.08,0.25,0.18,0.75"
L21_V005,15573,519.100,"ROOM 302",0.99,"0.25,0.40,0.32,0.55"
L21_V005,15933,531.100,"OFFICE ENTRANCE",0.94,"0.15,0.35,0.25,0.65"
L21_V005,16353,545.100,"MEETING ROOM A",0.96,"0.10,0.20,0.18,0.50"
L21_V008,6097,243.880,"BUS 150 BẾN XE MIỀN ĐÔNG",0.97,"0.45,0.20,0.60,0.80"
L21_V008,6300,252.000,"BUS STOP 150",0.95,"0.30,0.40,0.42,0.65"
L21_V008,6678,267.120,"ROUTE 150 CHỢ LỚN",0.96,"0.20,0.30,0.32,0.70"
L21_V010,210,7.000,"TAXI VINASUN",0.98,"0.50,0.30,0.62,0.70"
L21_V011,115,3.833,"PARKING AREA B1",0.93,"0.05,0.70,0.15,0.95"
L21_V015,540,18.000,"PHỞ 24 HÀ NỘI",0.97,"0.12,0.25,0.22,0.60"
L21_V020,330,11.000,"ATM TECHCOMBANK",0.99,"0.20,0.40,0.30,0.65"
L21_V021,180,6.000,"LOTTERIA FAST FOOD",0.95,"0.08,0.30,0.18,0.70"
L21_V025,420,14.000,"HIGHLANDS COFFEE",0.98,"0.10,0.20,0.20,0.60"
L22_V001,150,5.000,"SUPERMARKET CO.OPMART",0.96,"0.05,0.15,0.15,0.55"
L22_V005,600,20.000,"STARBUCKS COFFEE",0.99,"0.10,0.35,0.20,0.65"
L22_V010,750,25.000,"HOTEL MAJESTIC SAIGON",0.94,"0.06,0.20,0.16,0.80"
L22_V011,115,3.833,"EMERGENCY EXIT",0.98,"0.02,0.80,0.10,0.98"
L22_V015,900,30.000,"CIRCLE K 24/7",0.97,"0.15,0.30,0.25,0.70"
L22_V020,1050,35.000,"PHARMACY PHARMACITY",0.96,"0.10,0.25,0.20,0.75"
L22_V021,166,5.533,"CHEF KITCHEN LAB",0.95,"0.05,0.35,0.15,0.65"
L22_V021,17517,583.933,"FRESH POTATOES & VEGETABLES",0.93,"0.40,0.10,0.55,0.45"
L22_V021,17625,587.533,"SINK & CLEANING STATION",0.94,"0.35,0.60,0.50,0.90"
L22_V022,14508,483.600,"KITCHEN PREP AREA 2",0.92,"0.10,0.20,0.22,0.60"
L22_V026,17642,588.067,"SPICE RACK & BOTTLES",0.95,"0.20,0.50,0.35,0.85"
L22_V030,1200,40.000,"VINMART CONVENIENCE STORE",0.97,"0.08,0.20,0.18,0.70"
L23_V001,150,5.000,"SECURITY CHECKPOINT",0.96,"0.10,0.30,0.22,0.70"
L23_V005,450,15.000,"SPEED LIMIT 40 KM/H",0.98,"0.15,0.70,0.30,0.88"
L23_V010,800,26.667,"BUS 08 ĐẠI HỌC QUỐC GIA",0.97,"0.35,0.25,0.50,0.75"
L23_V015,1100,36.667,"PEDESTRIAN CROSSING",0.94,"0.05,0.10,0.15,0.40"
L23_V020,1350,45.000,"GAS STATION PETROLIMEX",0.99,"0.08,0.30,0.20,0.80"
L23_V025,1600,53.333,"NO PARKING CẤM ĐỖ XE",0.96,"0.12,0.65,0.28,0.85"
